date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:16:42	44340/44340	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Jan%202023%2014:16:42%20GMT	https://rennaker.lojaintegrada.com.br/conta/login?next=/conta/index	D:/Sunflower/Site/Clone-Site/RennakerLojaIntegrada/rennaker.lojaintegrada.com.br/conta/loginb308.html	(from https://rennaker.lojaintegrada.com.br/)
11:16:43	3721/3721	---M--	200	added ('OK')	image/png	etag:%2258b67286272857b63129a37510442bbc%22	https://cdn.awsli.com.br/400x300/2545/2545673/logo/logo-rennaker-446f8ecfae.png	D:/Sunflower/Site/Clone-Site/RennakerLojaIntegrada/cdn.awsli.com.br/400x300/2545/2545673/logo/logo-rennaker-446f8ecfae.png	(from https://rennaker.lojaintegrada.com.br/)
11:16:43	44082/44082	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Jan%202023%2014:16:44%20GMT	https://rennaker.lojaintegrada.com.br/conta/login	D:/Sunflower/Site/Clone-Site/RennakerLojaIntegrada/rennaker.lojaintegrada.com.br/conta/login.html	(from https://rennaker.lojaintegrada.com.br/)
11:16:44	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2027%20Jan%202023%2014:16:44%20GMT	https://rennaker.lojaintegrada.com.br/conta/pedido/listar	D:/Sunflower/Site/Clone-Site/RennakerLojaIntegrada/rennaker.lojaintegrada.com.br/conta/pedido/listar	(from https://rennaker.lojaintegrada.com.br/)
11:16:44	44364/44364	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Jan%202023%2014:16:44%20GMT	https://rennaker.lojaintegrada.com.br/conta/login?next=/conta/pedido/listar	D:/Sunflower/Site/Clone-Site/RennakerLojaIntegrada/rennaker.lojaintegrada.com.br/conta/logincddc.html	(from https://rennaker.lojaintegrada.com.br/)
11:16:45	53774/53774	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Jan%202023%2014:16:45%20GMT	https://rennaker.lojaintegrada.com.br/cabelo-pele-e-unhas	D:/Sunflower/Site/Clone-Site/RennakerLojaIntegrada/rennaker.lojaintegrada.com.br/cabelo-pele-e-unhas.html	(from https://rennaker.lojaintegrada.com.br/)
11:16:45	274157/274157	---M--	200	added ('OK')	image/png	etag:%2229ca2ba365dbd132f46b5fd722ef3fa0%22	https://cdn.awsli.com.br/1140x1140/2545/2545673/banner/bannerrennakermobile2-1091c7f397.png	D:/Sunflower/Site/Clone-Site/RennakerLojaIntegrada/cdn.awsli.com.br/1140x1140/2545/2545673/banner/bannerrennakermobile2-1091c7f397.png	(from https://rennaker.lojaintegrada.com.br/)
11:16:45	330465/330465	---M--	200	added ('OK')	image/png	etag:%2233e7207e818d9b174db75b50acc15e12%22	https://cdn.awsli.com.br/1140x1140/2545/2545673/banner/frame-2-(1)-fdacf8227f.png	D:/Sunflower/Site/Clone-Site/RennakerLojaIntegrada/cdn.awsli.com.br/1140x1140/2545/2545673/banner/frame-2-(1)-fdacf8227f.png	(from https://rennaker.lojaintegrada.com.br/)
11:16:46	241756/241756	---M--	200	added ('OK')	image/png	etag:%224a62b11a1a9e2d49ad4466dd9d805a67%22	https://cdn.awsli.com.br/1140x1140/2545/2545673/banner/banner-1-(1)-a972fca818.png	D:/Sunflower/Site/Clone-Site/RennakerLojaIntegrada/cdn.awsli.com.br/1140x1140/2545/2545673/banner/banner-1-(1)-a972fca818.png	(from https://rennaker.lojaintegrada.com.br/)
11:16:46	213104/213104	---M--	200	added ('OK')	image/png	etag:%2255643704b43ac08d42fa94309388b728%22	https://cdn.awsli.com.br/1140x1140/2545/2545673/banner/rennakerbannermobile-10a07d1324.png	D:/Sunflower/Site/Clone-Site/RennakerLojaIntegrada/cdn.awsli.com.br/1140x1140/2545/2545673/banner/rennakerbannermobile-10a07d1324.png	(from https://rennaker.lojaintegrada.com.br/)
